source_sheet,source_cell,group_label,culture_hours,rfu,read_started,read_temperature_c
24 hours,L22,TI-CTL,24,1641,2021-10-21 18:21:20,29.2
24 hours,M22,TI-CTL,24,2307,2021-10-21 18:21:20,29.2
24 hours,N22,TI-CTL,24,2491,2021-10-21 18:21:20,29.2
24 hours,O22,TI-CTL,24,2393,2021-10-21 18:21:20,29.2
24 hours,L23,TI-BMG,24,2805,2021-10-21 18:21:20,29.2
24 hours,M23,TI-BMG,24,3052,2021-10-21 18:21:20,29.2
24 hours,N23,TI-BMG,24,2905,2021-10-21 18:21:20,29.2
24 hours,O23,TI-BMG,24,3012,2021-10-21 18:21:20,29.2
24 hours,P23,TI-BMG,24,2343,2021-10-21 18:21:20,29.2
24 hours,L24,POLY,24,3075,2021-10-21 18:21:20,29.2
24 hours,M24,POLY,24,3261,2021-10-21 18:21:20,29.2
24 hours,N24,POLY,24,3276,2021-10-21 18:21:20,29.2
24 hours,B45,AB,24,1743,2021-10-21 18:21:20,29.2
24 hours,C45,AB,24,1756,2021-10-21 18:21:20,29.2
48 hours,O7,TI-CTL,48,1595,2021-10-22 17:57:33,35.1
48 hours,P7,TI-CTL,48,1894,2021-10-22 17:57:33,35.1
48 hours,Q7,TI-CTL,48,2105,2021-10-22 17:57:33,35.1
48 hours,R7,TI-CTL,48,2695,2021-10-22 17:57:33,35.1
48 hours,O8,TI-BMG,48,3610,2021-10-22 17:57:33,35.1
48 hours,P8,TI-BMG,48,4625,2021-10-22 17:57:33,35.1
48 hours,Q8,TI-BMG,48,3968,2021-10-22 17:57:33,35.1
48 hours,R8,TI-BMG,48,3579,2021-10-22 17:57:33,35.1
48 hours,S8,TI-BMG,48,2495,2021-10-22 17:57:33,35.1
48 hours,O9,POLY,48,5678,2021-10-22 17:57:33,35.1
48 hours,P9,POLY,48,5509,2021-10-22 17:57:33,35.1
48 hours,Q9,POLY,48,4835,2021-10-22 17:57:33,35.1
48 hours,H28,AB,48,1581,2021-10-22 17:57:33,35.1
48 hours,I28,AB,48,1624,2021-10-22 17:57:33,35.1
